gene_id	Col0_leaf	rdr2_leaf	drm_leaf	Col0_CC	rdr2_CC	drm_CC	Col0_ME	rdr2_ME	drm_ME
AT4G01950	87.1097	77.2174	60.55	1.2975	4.98826	3.44844	0.443544	0.393032	0.811825
AT2G25480	3.64251	3.06932	3.4185	0.774564	2.92442	2.11951	3.49909	1.95362	1.7927
AT1G10586	0.0	0.0456357	0.0	0.959041	3.47864	3.1113	0.109205	0.474715	1.30973
AT2G30130	0.0	0.01818	0.0	0.394248	1.41066	2.22543	0.0	0.0	0.0
AT3G53160	0.180567	0.0397639	0.0327843	0.953186	3.38508	4.04304	0.93255	1.0614	1.09032
AT3G20340	0.571321	0.57271	0.383728	38.1637	135.269	140.819	1.57689	2.42898	3.00198
AT1G33600	48.4005	48.6196	30.3008	2.62578	9.29508	10.3178	107.753	158.182	128.426
AT3G19550	0.559677	1.18743	1.29115	4.33975	15.2287	40.6518	0.179148	0.134395	0.0343383
AT1G51805	42.7445	41.6827	39.9342	0.624231	2.16857	2.37243	48.6542	66.3944	83.6276
AT3G19552	0.713315	0.293976	0.288645	4.65597	15.657	36.8212	0.757399	0.0	0.156389
AT1G51090	53.335	50.388	61.3881	27.9037	93.322	94.8537	29.6954	39.0076	59.8821
AT3G30775	3.49575	4.89242	3.22445	144.179	481.967	544.298	5.99573	4.05376	2.89886
AT4G11140	0.116796	0.203969	0.124377	1.80909	6.02355	2.91052	0.0569354	0.428722	0.0785275
AT1G13245	49.4431	48.5206	51.7747	10.9542	35.1226	41.6102	13.1452	16.4666	28.9485
AT4G31240	0.874444	0.591568	0.821266	5.47659	17.53	18.782	0.196696	0.391531	0.391699
AT3G12510	0.684465	0.883405	0.90893	11.317	35.7349	44.2459	8.42032	12.6657	19.5604
AT5G07100	4.12769	3.80057	2.585	2.18236	6.83666	11.6678	8.27347	12.0323	17.0537
AT3G62150	0.259883	0.471739	0.251598	0.407148	1.27348	2.58362	0.379411	0.600373	1.26952
AT5G14070	0.306745	0.37438	0.148349	2.99756	9.36022	6.57737	0.331695	0.0	0.0414613
AT4G21920	0.312706	0.176289	0.526164	0.455028	1.42009	2.28074	0.142688	0.719641	0.733665
AT5G60780	0.00966248	0.251645	0.063657	0.585041	1.81925	1.32909	0.103599	0.150549	0.128304
AT1G32350	0.0382216	0.0	0.0118238	0.328308	1.00946	3.57018	1.64718	2.27964	4.60358
AT1G68290	0.566938	0.223011	0.247344	11.5559	35.4454	67.9858	1.12842	2.88965	2.81943
AT5G38200	0.661813	0.774265	0.564222	1.34116	3.91733	4.85979	0.214366	0.0310886	0.148836
AT5G40348	0.0141013	0.0520051	0.0816136	2.33957	6.73123	4.97761	0.0256011	0.289801	0.238847
AT3G27270	3.34585	3.48442	4.31473	0.970127	2.77409	2.75002	1.29408	1.92148	2.77283
AT4G27260	1.16541	1.20203	1.13045	3.59072	10.2661	13.4374	2.76847	3.7938	2.79543
AT3G13730	1.25001	1.40241	1.36125	7.94526	22.5631	16.3772	0.365748	0.195448	0.121119
AT4G01070	46.62	43.6173	47.2566	18.1489	51.2038	61.8757	60.7328	75.7319	80.3846
AT5G27765	0.106537	0.179019	0.0	3.72802	10.5088	10.9411	1.25681	2.79502	3.38622
AT4G34135	4.49283	3.8455	3.28071	17.6594	49.2767	51.5199	70.0376	85.0747	111.052
AT5G48850	0.618344	0.953093	0.98292	7.31804	20.4092	16.6234	0.39134	0.0	0.10243
AT5G22300	10.8967	10.6141	17.0225	0.573966	1.59268	1.52716	25.1706	18.1037	26.9382
AT1G15670	0.754019	1.02425	0.68082	14.868	40.9785	57.5854	0.916469	1.21544	2.76966
AT1G66090	23.6161	25.5007	15.0423	3.46491	9.51934	9.44414	156.62	251.484	196.571
AT5G20790	0.619167	0.305761	0.629553	0.490264	1.33089	2.48136	0.351317	0.460031	0.223518
AT2G05910	0.372495	0.478429	0.688944	4.14643	11.1651	22.8915	0.110998	0.0	0.0574834
AT2G15490	0.0548963	0.0380171	0.0103867	6.50381	17.1925	21.0318	1.92749	3.31625	5.52439
AT2G03760	15.711	13.3577	15.8218	1.78012	4.68305	7.23467	3.26458	4.72184	9.23279
AT5G08350	0.513116	0.913186	0.753696	2.24635	5.90468	7.75589	0.0	0.0	0.0611933
AT5G40860	0.0174791	0.0	0.0	0.384545	0.998485	1.38459	0.052928	0.21254	0.123911
AT5G66450	12.3864	12.9994	11.9023	12.7364	33.0114	43.3456	19.1913	19.2568	19.0979
AT1G56090	3.48862	0.854319	1.30119	3.83761	9.94148	7.72447	3.30876	1.21351	0.90699
AT5G54720	10.1621	11.8507	9.17502	0.606026	1.56759	1.29295	31.1013	40.958	40.0203
AT2G25460	1.12859	0.775156	0.491892	12.6453	32.6835	38.204	44.1995	49.9782	43.4011
AT1G68250	0.325916	0.2163	0.191454	0.576777	1.47974	1.59364	0.69551	0.595244	0.172161
AT4G34131	1.54274	1.37937	1.26565	60.3217	154.518	158.539	111.592	164.847	143.599
AT4G12005	4.43687	4.54571	4.78168	6.60143	16.8321	18.58	3.33657	4.97975	6.49214
AT5G48180	23.4178	20.7998	22.1585	27.0473	68.2882	71.5942	27.6927	35.5021	40.9253
AT1G02205	21.516	22.1156	54.5178	0.689472	1.72777	3.40999	0.25638	0.104477	0.181187
AT1G65610	0.0475703	0.0725796	0.0305371	0.473524	1.186	2.19028	0.0691966	0.126589	0.308091
AT1G09460	0.305878	0.286038	0.229301	1.2283	3.06291	5.43678	0.0	0.0916754	0.0194519
AT3G14660	20.1639	20.566	20.4451	4.37038	10.8479	11.1413	56.6228	71.2801	73.0695
AT3G55940	1.291	0.858319	1.55217	1.32485	3.27387	5.15029	0.0968424	0.0249702	0.0375501
AT2G01670	76.7582	66.2094	61.0787	5.21578	12.8828	22.4912	208.669	211.163	214.666
AT2G38590	0.0	0.0	0.0	0.47341	1.16822	1.69478	0.0874137	0.106561	0.066987
AT2G23840	18.2703	15.951	20.9083	1.25826	3.08609	3.00537	27.3275	29.5003	32.7296
AT3G50070	4.31023	4.68381	5.94984	7.98277	19.4789	26.0632	2.45747	2.76974	2.208
AT2G22860	19.6101	13.3705	14.8178	15.7814	38.1519	93.0538	1.15064	0.361492	1.03882
AT3G22830	0.0151403	0.0	0.0108451	0.408522	0.98076	1.28698	0.0	0.0	0.0337073
AT2G47950	0.321653	0.324975	0.381465	34.3635	81.9132	105.322	2.56982	3.78585	8.65675
AT4G04610	26.0688	30.5485	30.2878	10.5308	25.0851	22.8228	11.2648	16.65	13.4779
AT5G28237	0.0625736	0.207338	0.0759587	0.564611	1.34175	1.38291	0.815345	1.79559	1.00639
AT3G28740	1.01114	0.998346	0.923997	83.3844	197.454	194.762	39.0571	46.9705	52.6696
AT2G26530	12.217	10.9337	8.16248	112.124	263.788	282.295	466.128	645.869	670.897
AT4G07960	0.0927143	0.145516	0.179098	0.913703	2.14544	1.70171	0.0606361	0.128829	0.16242
AT2G41380	1.12347	0.733703	1.2613	22.6984	53.1089	68.238	0.826187	0.966667	1.26091
AT5G66440	2.60655	2.41696	2.08337	38.8741	90.7034	132.011	1.15216	0.507724	0.465412
AT3G26700	2.64175	2.85523	2.60973	6.37456	14.8153	19.2945	0.992423	0.728884	1.0179
AT4G15260	3.13288	2.77283	2.80404	1.45524	3.36312	3.99266	10.9571	10.9735	10.7142
AT1G72070	0.723806	0.167897	0.889413	2.34914	5.37907	6.89749	0.732611	2.00096	2.42792
AT4G34880	0.0110958	0.0337284	0.0866295	4.55421	10.3877	7.12173	0.204811	0.190793	0.203385
AT1G24145	6.18029	6.16263	6.23289	0.687096	1.55415	1.87743	40.3783	48.3439	68.2837
AT4G15280	0.0494152	0.0	0.0103538	2.16972	4.86187	5.83039	0.399226	0.0345505	0.184872
AT5G47230	2.33739	1.34903	1.00352	8.00291	17.9235	24.0764	57.2399	74.367	87.6456
AT2G15480	1.50574	1.41281	1.13051	121.936	271.159	257.961	48.1688	67.5419	81.0137
AT1G61340	57.317	39.1927	29.7817	65.6398	145.138	152.15	113.849	137.003	162.113
AT3G49940	13.9424	14.1405	8.65926	30.5257	67.4352	74.2216	8.58395	5.9309	2.9645
AT1G66400	14.3597	13.0429	12.9399	1.86849	4.10858	3.92348	1.78052	2.3387	4.09255
AT1G61890	28.5937	26.0113	21.9995	12.7297	27.8517	29.9105	439.413	645.017	546.71
AT1G55370	17.1594	16.6462	16.2454	1.91785	4.17999	3.48317	25.6088	23.1605	22.3755
AT4G31770	2.70998	2.44236	2.57814	6.85008	14.6614	14.0872	8.22907	9.6393	9.48329
AT1G32460	50.8978	50.5254	44.8952	51.083	108.937	120.654	22.7169	57.9165	80.4135
AT1G72760	0.0888619	0.0463343	0.0939705	0.794997	1.67951	1.31903	0.390334	0.712377	0.273546
AT5G26770	11.4692	10.0611	10.1417	1.80775	3.79809	5.66751	1.95133	2.63356	3.42185
AT3G61260	108.685	106.246	102.453	36.3013	76.2167	86.1623	78.8057	87.746	120.347
AT1G61210	5.77984	4.77956	5.31982	3.63187	7.61504	8.04796	9.74182	9.06743	8.84626
AT2G14290	0.185919	0.199812	0.1229	0.552318	1.1525	1.7269	0.544754	1.06202	0.962835
AT2G41640	5.30549	3.62001	2.4546	33.4561	69.6759	76.6609	92.4854	93.0549	96.4887
AT4G01360	7.58581	4.31186	3.01966	155.041	322.175	426.073	186.802	204.182	185.374
