GO	-log10(pvalue)	genes
GO:0032875	0.7173414854854481	AT5G40460
GO:0017148	0.7173414854854481	AT4G34590
GO:0050829	0.7039889646219234	AT2G23810
GO:0006813	0.7039889646219234	AT4G10310
GO:0010143	0.7039889646219234	AT4G01950
GO:2000652	0.7039889646219234	AT1G66230
GO:0005975	0.6924888880462423	AT1G55370
GO:0099402	0.6793184661151787	AT4G07960
GO:0009833	0.6793184661151787	AT2G33100
GO:0019762	0.6793184661151787	AT5G48180
GO:0051510	0.6793184661151787	AT1G61210
GO:0046856	0.6793184661151787	AT4G18010
GO:0042127	0.6793184661151787	AT3G50070
GO:0007623	0.679023318134036	AT3G45780,AT2G18915
GO:0009738	0.672464337219977	AT3G45640,AT2G22430
GO:0046777	0.6692852057887902	AT1G09970,AT3G45780
GO:0098662	0.667901209874651	AT5G41610
GO:0015995	0.667901209874651	AT2G20180
GO:0006487	0.667901209874651	AT3G27540
GO:0071805	0.667901209874651	AT4G10310
GO:0030422	0.6570385092686315	AT5G20320
GO:0010431	0.6570385092686315	AT5G58070
GO:0006952	0.6540500532993372	AT1G66090,AT2G03760,AT1G77380
GO:0006400	0.6466927734363725	AT5G19040
GO:0006885	0.6466927734363725	AT5G41610
GO:0009723	0.6461155139553247	AT4G11280,AT1G05690
GO:0010150	0.6383977521039501	AT5G24110,AT3G14067
GO:0009755	0.6368301103776597	AT1G33600
GO:0016036	0.6335267589388823	AT2G01670,AT5G35735
GO:0010628	0.6274198570451008	AT1G55370
GO:0070417	0.6274198570451008	AT1G01120
GO:0006879	0.6274198570451008	AT2G23150
GO:0006520	0.6184341817671024	AT4G11280
GO:0010468	0.6181023167466067	AT3G49940,AT5G64450
GO:2000377	0.6098477460393628	AT2G33380
GO:0010193	0.6098477460393628	AT5G24110
GO:0035556	0.60501174673614	AT3G55940,AT3G45640
GO:0006890	0.6016374153543568	AT2G23810
GO:0010154	0.6016374153543568	AT3G22200
GO:0000398	0.5912555544857846	AT4G31770,AT4G03430
GO:1900150	0.5862620945618212	AT3G55970
GO:0000122	0.5790597843726857	AT5G14070
GO:0000302	0.5790597843726857	AT5G58070
GO:0010118	0.5790597843726857	AT2G33380
GO:0042752	0.5790597843726857	AT2G18915
GO:0000082	0.572158591629082	AT3G50070
GO:0048653	0.5655432803288796	AT5G14070
GO:0048364	0.5643798903334081	AT3G18485,AT3G22200
GO:0009266	0.5591997433033132	AT3G07370
GO:0009809	0.5591997433033132	AT4G01070
GO:0048825	0.5591997433033132	AT4G11140
GO:0008285	0.553114893386082	AT1G13245
GO:0009639	0.5472765673898388	AT1G30040
GO:0048868	0.5472765673898388	AT4G07960
GO:0080022	0.5416734411229785	AT5G35735
GO:0080188	0.5416734411229785	AT4G03430
GO:0006499	0.5362949539576555	AT3G19240
GO:0009407	0.5311312416891496	AT2G29450
GO:0006749	0.5311312416891496	AT2G29450
GO:1902074	0.5261730766164264	AT5G24240
GO:0010411	0.5261730766164264	AT3G62720
GO:0010043	0.5214118139314816	AT2G23150
GO:0042546	0.5214118139314816	AT4G20170
GO:0051603	0.5214118139314816	AT1G47128
GO:0009615	0.5168393436368003	AT2G41640
GO:0009646	0.5082307592131139	AT3G47340
GO:0003333	0.5082307592131139	AT1G77380
GO:0071472	0.5082307592131139	AT3G49810
GO:0009644	0.5041807310233972	AT5G58070
GO:0000209	0.5041807310233972	AT3G07370
GO:0009873	0.5002916001271859	AT5G47230
GO:0043622	0.5002916001271859	AT1G61210
GO:0010027	0.5002916001271859	AT4G31780
GO:0009749	0.4895311625653317	AT3G47340
GO:0043086	0.4895311625653317	AT1G47960
GO:0048767	0.4895311625653317	AT3G62720
GO:0045087	0.4830602883980142	AT1G09970
GO:0048481	0.4830602883980142	AT3G45640
GO:0010029	0.4830602883980142	AT2G20180
GO:0009625	0.4800212003512158	AT2G15480
GO:0009867	0.4771071475737525	AT3G27810
GO:0006974	0.4771071475737525	AT1G68760
GO:0016192	0.4764085956089894	AT3G13720
GO:0010119	0.4743140048721705	AT3G45780
GO:0010311	0.4690749422844908	AT3G53180
GO:0010087	0.4690749422844908	AT4G11280
GO:0009631	0.4642748111550326	AT4G25490
GO:0009965	0.4642748111550326	AT2G30130
GO:0006457	0.4607771130119487	AT4G13830
GO:0006869	0.4578401900884437	AT3G47780
GO:0009827	0.4558875027512255	AT1G47960
GO:0009734	0.4522539948788509	AT2G23810
GO:0009846	0.4433550206841486	AT2G33100
GO:0010224	0.4421409410136102	AT3G45640
GO:0048316	0.4421409410136102	AT3G50070
GO:0043161	0.4421372690153375	AT3G07370
GO:0009553	0.439925921937634	AT1G05690
GO:0009620	0.4388914854528884	AT2G33380
GO:0009567	0.4336649624872704	AT4G00050
GO:0051301	0.4322848758347602	AT4G11280
GO:0009739	0.4322848758347602	AT2G04240
